sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :900026
Sch. Code:79045","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: V K SUDHEENA","Address : N T P C KAYAMKULAM CHEPPAD PO, DISTT ALAPPUZHA, KERALA
Website : www.kayamkulamntpc.kvs.ac.in"
2,"Aff. No. :930013
Sch. Code:75001","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : S D V ENGLISH MEDIUM HIGHER SECONDARY SCHOOL
Head/Principal Name: SAVITHA S CHANDRAN","Address : ALLAPPEY, DISTT ALAPPUZHA, KERALA
Website : www.sdvcentralschool.in"
3,"Aff. No. :930036
Sch. Code:75031","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MATHA SENIOR SECONDARY SCHOOL
Head/Principal Name: VINCY VARGHESE","Address : THUMPOLY ALLAPPEY NORTH ALAPPUZHA KERALA
Website : https://www.mathathumpoly.com/"
4,"Aff. No. :930066
Sch. Code:75063","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE NARAYANA CENTRAL SCHOOL
Head/Principal Name: SALILA KUMARI C","Address : KAYAMKULAM, DISTT ALAPPUZHA, KERALA
Website : www.sncskayamkulam.in"
5,"Aff. No. :930075
Sch. Code:75051","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : PANICKAVEETTIL SIR SEBASTIAN PUBLIC SCHOOL
Head/Principal Name: DIANAJACOB","Address : VAYALAR EAST P.O CHERTHALA ALAPPUZHA KERALA
Website :"
6,"Aff. No. :930086
Sch. Code:75095","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : CHINMAYA VIDYALAYA
Head/Principal Name: Dr. REKHA R S","Address : KALARCODE SANATHANAPURAM POST ALAPPUZHA KERALA
Website : www.cvalpy.com"
7,"Aff. No. :930108
Sch. Code:75117","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MADHAVA EDUCATION CENTRE CENTRAL SCHOOL
Head/Principal Name: ANUMOLE GEORGE","Address : PALLIPAD PO ALAPPUZHA DISTT. KERALA
Website :"
8,"Aff. No. :930132
Sch. Code:75147","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : CHERUPUSHPA BETHANY SCHOOL
Head/Principal Name: FR. JAMES VARGHEESE OIC","Address : PB NO.1 CHUNNAKKARA PO ALAPPUZHA DISTT KERALA
Website : www.cherupushpabethany.edu.in"
9,"Aff. No. :930143
Sch. Code:75130","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : BELIEVERS CHURCH ENGLISH MEDIUM SCHOOL
Head/Principal Name: JOSEPH MARTIN K C","Address : GURUPURAM AVALOOKUNNU PO P.O. ALLEPPEY, DISTT ALAPPUZHA KERALA
Website : www.bcems.edu.in"
10,"Aff. No. :930147
Sch. Code:75124","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MARIA MONTESSORI CENTRAL SCHOOL
Head/Principal Name: Dr manjula Nair","Address : AMBALAPUZHA DIST. ALAPPUZHA KERALA
Website : www.mmcs.edu.in"
11,"Aff. No. :930161
Sch. Code:75114","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. MARYS RESIDENTIAL CENTRAL SCHOOL
Head/Principal Name: JAYAMOLE P T","Address : POONTHOPPU, ALLEPPEY, DISTT ALAPPUZHA, KERALA
Website : www.stmarysalappuzha.in"
12,"Aff. No. :930168
Sch. Code:75146","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : INDIRA JANARDHANAN VIDYA MANDIR
Head/Principal Name: SREEJA CR","Address : MARTHORVATTOM P.O CHERTHALA P.O.CHERTHALA KERALA
Website :"
13,"Aff. No. :930177
Sch. Code:75218","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ANGELS ARC ENGLISH MEDIUM SCHOOL
Head/Principal Name: JAYA PRADEEP","Address : KALLUMMOODU KAYAMKULAM KAYAMKULAM ALAPUZHA
Website : www.angelsarcschool.org"
14,"Aff. No. :930184
Sch. Code:75144","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY MARY CENTRAL SCHOOL
Head/Principal Name: V. RADHAKRISHNAN","Address : PERUNGALA P.O. KAKKANAD KAYAMKULAM ALAPPUZHA DISTT KERALA
Website : www.holymarycentralschool.in"
15,"Aff. No. :930188
Sch. Code:75209","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : FR THOMAS PORUKARA CENTRAL SCHOOL
Head/Principal Name: FR SUBIN KOTTOOR CMI","Address : CHAMPAKULAM, DISTT ALAPUZHA, KERALA
Website : www.porukarajc.ac.in"
16,"Aff. No. :930197
Sch. Code:75196","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. GREGORIOUS SCHOOL
Head/Principal Name: SALY RAJU","Address : MULAKUZHA CHENGANNUR CHENGANNUR, DISTT ALAPPUZHA,KERALA
Website : www.stgregorious.com"
17,"Aff. No. :930186
Sch. Code:75125","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY TRINITY VIDYA BHAVAN
Head/Principal Name: LATHA B NAIR","Address : KARTHIGAPPALLY P.O. DIST. ALAPUZHA KERALA
Website : www.holytrinityvidyabhavan.org"
18,"Aff. No. :930233
Sch. Code:75168","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY ANGELS ENGLISH SCHOOL
Head/Principal Name: DR SILAS K ABRAHAM","Address : EDATHUA PO ALLEPPEY, DISTT. ALAPPUZHA, KERALA
Website :"
19,"Aff. No. :930237
Sch. Code:75301","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. ALLOYSIUS SCHOOL
Head/Principal Name: MINI CHACKO","Address : PUNNAPRA, DISTT ALAPPUZHA KERALA
Website : www.staloysiusschoolpunnapra.org"
20,"Aff. No. :930262
Sch. Code:75239","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. MARY OF LEUCA ENGLISH MEDIUM SCHOOL
Head/Principal Name: JOLLY KANIYAMPARAMBIL MATHEW","Address : PALLIPURAM PO CHERTHALA ALAPPUZHA DISTT KERALA
Website : www.leucaschool.org"
21,"Aff. No. :930282
Sch. Code:75223","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE NARAYANA CENTRAL SCHOOL
Head/Principal Name: Tomson Dcotho","Address : CHERUKUNNAM THEKKEKARA PO MAVELIKARA, DISTT ALAPPUZHA, KERALA
Website : www.sncentralschool.com"
22,"Aff. No. :930293
Sch. Code:75232","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : M E S ENGLISH MEDIUM SCHOOL
Head/Principal Name: HASEENA A L","Address : PUNNAPRA, ALAPPUZHA, KERALA
Website :"
23,"Aff. No. :930312
Sch. Code:75360","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : CHINMAYA VIDYALAYA
Head/Principal Name: PREETHI RAJENDRAN","Address : CHENGANNUR P O THITTAMEL ALPUZHA DISTRICT KERALA
Website : http://chinmayavidyalaya.co.in"
24,"Aff. No. :930363
Sch. Code:75314","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : CROSS LAND PUBLIC SCHOOL
Head/Principal Name: PUSHPA AGRAWAL","Address : MAVELIKKARA KUNNAM DISTT ALAPPUZHA KERALA
Website :"
25,"Aff. No. :930372
Sch. Code:75379","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE NARAYANA VIDYA PEEDTOM
Head/Principal Name: PRABHA S","Address : KOTTA PO CHENGANNUR, DIST ALAPPUZHA KERALA
Website : www.snvidyapeedtomkotta.com"
26,"Aff. No. :930373
Sch. Code:75329","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : VIDYADHI RAJA VIDHYA PEETOM CENTRAL SCHOOL
Head/Principal Name: Dr B SANTHOSH","Address : MAVELIKKARA, DISTT ALAPPUZHA KERALA
Website : http://www.vidyadhirajamvk.org/"
27,"Aff. No. :930375
Sch. Code:75363","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. BERSOUMA'S PUBLIC SCHOOL
Head/Principal Name: SUBHA KUMARI C.G","Address : CHERUMUKHA AYRANIKUDY PO ALAPPUZHA DISTT KERALA
Website : https://stbursoumasschool.org"
28,"Aff. No. :930384
Sch. Code:75346","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SRI SANKARA ENGLISH MEDIUM SCHOOL
Head/Principal Name: U SURESHKUMAR","Address : KURUPPAN KULANGARA CHERTHALA ALLAPPEY KERALA
Website : www.sreesankaraschool.com"
29,"Aff. No. :930393
Sch. Code:75347","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : AMRITA VIDYALAYAM
Head/Principal Name: DHANYA D M","Address : TRIPPAKKUDAM MARIPPAD DISTT ALAPPUZHA KERALA
Website : www.amritavidyalayams.org"
30,"Aff. No. :930406
Sch. Code:75386","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : K E CARMEL CENTRAL SCHOOL
Head/Principal Name: Fr Dr SAMJY MATHEW CMI","Address : MUHAMMA PO ALAPPUZHA KERALA
Website : www.kecarmelmuhamma.in"
31,"Aff. No. :930442
Sch. Code:75403","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY TRINITY SCHOOL
Head/Principal Name: MAYA G NAIR","Address : KP ROAD KAYAMKULAM PO ALAPPUZHA KERALA
Website : https://www.holytrinityschoolkylm.com"
32,"Aff. No. :930462
Sch. Code:75421","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE SABARI CENTRAL SCHOOL
Head/Principal Name: UNNIKRISHNAN S","Address : NOORANAD ALAPPUZHA DISTT KERALA
Website : www.sabaricentralschool.org"
33,"Aff. No. :930477
Sch. Code:75503","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST MARY'S CATHEDRAL PUBLIC SCHOOL
Head/Principal Name: REENA PHILIP","Address : PUTHIYACAVU MAVELIKKARA, DISTT ALAPPUZHA, KERALA
Website : https://www.stmaryscathedralpublicschool.in"
34,"Aff. No. :930478
Sch. Code:75423","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : AL AMEEN PUBLIC SCHOOL
Head/Principal Name: ASHA YETHEES","Address : CHANDIRO ALAPPUZHA DISTT., KERALA
Website : www.alameenchandiroor.ac.in"
35,"Aff. No. :930480
Sch. Code:75426","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : V N S S S N TRUST CENTRAL SCHOOL
Head/Principal Name: SUSAN THOMAS","Address : S N PURAM PO CHERTHALA ALAPPUZHA DISTT KERALA
Website : www.vnsssntrustscentralschool.in"
36,"Aff. No. :930491
Sch. Code:75505","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : S S V M RESIDENTIAL CENTRAL SCHOOL
Head/Principal Name: SIMI RAJ","Address : VETTATHUKADAVU MUTHUKULAM SOUTH PO ALAPPUZHA KERALA
Website :"
37,"Aff. No. :930493
Sch. Code:75545","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : CRESCENT PUBLIC SCHOOL
Head/Principal Name: AMBILI P","Address : MANNACHERRY PO ALAPPUZHA DISTT., KERALA
Website : www.crescentpublicschoolmncy.com"
38,"Aff. No. :930505
Sch. Code:75507","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : JANASAKTHI PUBLIC SCHOOL
Head/Principal Name: R SAJEEV","Address : VELANCHIRA PATTOLI MARKET PO ALAPUZHA DISTT KERALA
Website : www.janashakthipublicschool.com"
39,"Aff. No. :930541
Sch. Code:75481","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : BISHOP MOORE VIDYAPITH
Head/Principal Name: PRINU CHERIAN","Address : KALAVANACODAM CHERTHALA ALAPPUZHA DISTT KERALA
Website : www.bishopmoorevidyapithcherthala.com"
40,"Aff. No. :930546
Sch. Code:75554","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : AL HUDA ENGLISH SCHOOL
Head/Principal Name: BEENA SEBASTIAN K","Address : NEERKUNNAM T D M C PO ALAPPUZHA DISTT KERALA
Website : www.alhudaenglishschool.edu.in"
41,"Aff. No. :930554
Sch. Code:75524","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST GEORGE PUBLIC SCHOOL
Head/Principal Name: SULEKHA D","Address : KOZHUVALLUR PO CHENGANNUR ALAPPUZHA DISTT KERALA
Website : www.stgeorgesrsec.ac.in"
42,"Aff. No. :930571
Sch. Code:75756","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : BUDDHA EDUCATION CENTRE
Head/Principal Name: Archana Jayaprakash","Address : MUTHUKULAM NORTH CHEPPAD PO ALAPPUZHA DISTT KERALA
Website : www.buddhacentralschool.in"
43,"Aff. No. :930577
Sch. Code:75542","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : GEORGIAN PUBLIC SCHOOL
Head/Principal Name: FR THOMAS KARAKKADU","Address : EDATHUA PO ALAPPUZHA DISTT KERALA
Website : www.georgianpublicschool.org"
44,"Aff. No. :930596
Sch. Code:75573","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE NARAYANA GURU MEMORIAL CENTRAL SCHOOL
Head/Principal Name: SUDHEER T G","Address : VALAMANGTALAM SOUTH PO THURAVAOR ALAPPUZHA DISTT KERALA
Website : www.gokulamsngmcs.in"
45,"Aff. No. :930615
Sch. Code:75585","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : S N TRUST CENTRAL SCHOOL
Head/Principal Name: AMBILI A","Address : KULANGARA HARIPAD ALAPUZHA DISTT KERALA
Website : www.sntrustscentralschool.org"
46,"Aff. No. :930640
Sch. Code:75635","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : AL-AMEEN CENTRAL SCHOOL
Head/Principal Name: HASEENA A L","Address : KAKKAZHOM PO ALAPUZHA DISTT KERALA
Website : www.alameencentralschool.in"
47,"Aff. No. :930653
Sch. Code:75604","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MAR GREGORIOUS MEMORIAL CENTRAL SCHOOL
Head/Principal Name: REMADEVI P R","Address : KARUVATTA PO ALAPUZHA DISTT KERALA
Website : https://www.mgmcskaruvatta.org"
48,"Aff. No. :930661
Sch. Code:75621","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : ARAVUKAD SREEDEN ENG MED SEC SCHOOL
Head/Principal Name: SANDHYA A","Address : PUNNAPRA PO ALAPUZHA DISTT KERALA
Website : www.aravukadsreedeviemss.com"
49,"Aff. No. :930678
Sch. Code:75622","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SANTA CRUZ PUBLIC SCHOOL
Head/Principal Name: MARY DIANA","Address : ERAMALLOOR PO CHERTHALA, ALAPPUZHA DISTT KERALA
Website : www.scps.edu.in"
50,"Aff. No. :930683
Sch. Code:75719","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : LITTLE FLOWER PUBLIC SCHOOL
Head/Principal Name: BINDU SHEE ANSALAM","Address : KALAVOOR PO ALAPUZHA DISTT KERALA
Website : www.littleflowerpskalavoor.com"
51,"Aff. No. :930708
Sch. Code:75620","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : BISHOP KURIALA CHEERY PUBLIC SCHOOL
Head/Principal Name: Sr.MARYAMMA JOSEPH","Address : CHAMAPAKULAM ALAPUZHA DISTT KERALA
Website : www.bkpublicschool.edu.in"
52,"Aff. No. :930712
Sch. Code:75664","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : RAJA RAJESWARI CENTRAL SCHOOL
Head/Principal Name: Jayalekshmi S","Address : KODUKULANJI PO CHENGANNOOR ALAPPUZHA DISTT KERALA
Website :"
53,"Aff. No. :930724
Sch. Code:75752","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MAHAKAVI KUMARANASAN CENTRAL SCHOOL
Head/Principal Name: Jalajakumari B","Address : PALLICKAL NADUVILEMURI PO KAYAMKULAM ALAPUZHA DISTT KERALA
Website : www.mkssschool.in"
54,"Aff. No. :930734
Sch. Code:75663","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : SREE BUDHA CENTRAL SCHOOL
Head/Principal Name: SUNI SADANANDAN","Address : PATTOOR PO NOORANADU ALAPUZHA DISTT KERALA
Website : www.sbcs.ac.in"
55,"Aff. No. :930808
Sch. Code:75790","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SREE NARAYANA CENTER SCHOOL,KARUVATTA
Head/Principal Name: JULIE G","Address : SREE NARAYANA CENTER SCHOOL,KARUVATTA P.O ALAPUZHA DIST .KERALA
Website :"
56,"Aff. No. :930821
Sch. Code:75806","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : NADVATHUL ISLAM ENGLISH SCHOOL
Head/Principal Name: RAMEENA P A","Address : NADVAT NAGAR P.O. CHERTHALA, ALAPPUZHA DISCTICT-KERALA
Website : www.nadvathschool.in"
57,"Aff. No. :930855
Sch. Code:75838","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : GAYATHRI CENTRAL SCHOOL
Head/Principal Name: SUNIL KUMAR V","Address : SOUTH MONKUZHY PULLIKANNAKKU P.O KAYAMKULAM
Website : www.gayathricentralschool.com"
58,"Aff. No. :930866
Sch. Code:76319","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : MARUTHAMOUNTAINS ENGLISH MEDIUM SCHOOL PALLANA ENGLISH MEDIUM SCHOOL PALLANA
Head/Principal Name: SOUMYA M S","Address : PALLANA P O THRIKKUNNAPUZHA ALAPPUZHA DIST KERALA
Website : www.maruthamountainsschool.com"
59,"Aff. No. :930882
Sch. Code:75852","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY ANGELS PUBLIC SCHOOL
Head/Principal Name: Dr Noushad A","Address : PALLIPAD P.O PIN-690512 DIST-ALLAPPUZHA
Website : www.holyangelschool.in"
60,"Aff. No. :930902
Sch. Code:75871","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : JYOTHI NIKETHAN ENGLISH MEDIUM SCHOOL
Head/Principal Name: SEN KALLUPURA","Address : P.B NO. 4 THIRUVAMPADY P.O
Website : https://jyothinikethan.com/"
61,"Aff. No. :930912
Sch. Code:75883","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : LEO XIII ENGLISH MEDIUM SCHOOL
Head/Principal Name: MINI JOSEPH","Address : AVALOOKUNNU PO , KALATH WARD, POOMTHOPE, ALAPPUZHA
Website : www.leoxiiiemkalath.com"
62,"Aff. No. :930938
Sch. Code:75911","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : ST. MARY'S BETHANY PUBLIC SCHOOL
Head/Principal Name: Sister Vimal SIC","Address : KPAC, KALLUMMOODU, KAYAMKULAM, KERALA.
Website : www.stmarysbethany.com"
63,"Aff. No. :930943
Sch. Code:75914","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : TAGORE CENTRAL SCHOOL,
Head/Principal Name: BINDHUMOL P G","Address : VETTUVENI HARIPAD KARTHIKAPPALLY TEHSIL ALAPPUZHA KERALA
Website :"
64,"Aff. No. :930957
Sch. Code:75924","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : ST.MARY'S PUBLIC SCHOOL ,MULAKUZHA
Head/Principal Name: MINI KURIAN","Address : MULAKUZHA.P.O
Website : https://stmarysmulakuzha.in/"
65,"Aff. No. :931012
Sch. Code:75961","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : MODEL PUBLIC SCHOOL
Head/Principal Name: Sandhya V","Address : PALLICKAL P.O.
Website :"
66,"Aff. No. :931026
Sch. Code:75936","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : VIJAYAMATHA PUBLIC SCHOOL
Head/Principal Name: Neethu John","Address : KODUPPUNNA P. O
Website : http://www.vijayamathaps.in/"
67,"Aff. No. :931027
Sch. Code:76129","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : BETHANY CENTRAL SCHOOL NANGIARKULANGARA
Head/Principal Name: SR AGNET SIC","Address : NANGIARKULANGARA PO HARIPAD
Website : www.bethanycentralschool.in"
68,"Aff. No. :931035
Sch. Code:76148","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SREE RAJA RAJESWARI ENGLISH MEDIUM SCHOOL
Head/Principal Name: K R BIJI","Address : KADAKKARAPPALLY P.O., CHERTHALA
Website : www.srremschool.com"
69,"Aff. No. :931039
Sch. Code:75976","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : EAST POINT ENGLISH MEDIUM SCHOOL
Head/Principal Name: MALA SASI","Address : NEAR K.S.D.P PATHIRAPALLY ALAPPUZHA
Website :"
70,"Aff. No. :931037
Sch. Code:76048","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SREE NARAYANA PUBLIC SCHOOL
Head/Principal Name: LEKHA KUMARI","Address : KAPPIL MEKKU,KRISHNAPURAM,KAYAMKULAM, ALAPPUZHA,PIN 690533
Website : http://www.sreenarayanapublicschoolkappil.org.in"
71,"Aff. No. :931062
Sch. Code:76151","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : PRATHEEKSHA BHAVAN ENGLISH MEDIUM SCHOOL,
Head/Principal Name: MINIMOL SEBASTIAN","Address : MUTTATHIPARAMBU, PO CHERTHALA, ALAPPUZHA, KERALA-688527
Website : www.pratheekshabhavan.in"
72,"Aff. No. :931074
Sch. Code:76196","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : CHRIST CHURCH VIDYAPITH
Head/Principal Name: NISHA MAREEN JOSEPH","Address : BJSM COMPLEX, KODUKULANJI P. O.,CHENGANNUR, ALAPPUZHA
Website : www.christchurchvidyapith.edu.in"
73,"Aff. No. :931094
Sch. Code:76143","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : K E CARMEL PUBLIC SCHOOL, KAINAKARY
Head/Principal Name: LINCYMOL THOMAS","Address : KAINAKARY P O KUTTANADU ALAPPUZHA
Website : http://www.kecarmelkainakary.in"
74,"Aff. No. :931123
Sch. Code:76106","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : HOLY FAMILY VISITATION PUBLIC SCHOOL
Head/Principal Name: SOPHIA K P","Address : KATTO P.O KALAVO, AMBALAPPUZHA,
Website : http://holyfamilyvps.in"
75,"Aff. No. :931125
Sch. Code:76158","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : HUDA TRUST PUBLIC SCHOOL
Head/Principal Name: SUMINA H","Address : KUMARAPURAM P.O.HARIPAD, KARTHIKAPALLY, ALLAPPUZHA.
Website : www.hudatrustpublicschool.com"
76,"Aff. No. :931127
Sch. Code:76159","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : VADUTHALA JAMA ATH ENGLISH MEDIUM PUBLIC SCHOOL
Head/Principal Name: FAISAL V P","Address : VADUTHALA NAGAR, ALAPPUZHA DIST.
Website : www.vjemps.in"
77,"Aff. No. :931131
Sch. Code:76068","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SREE BHUVANESWARI ENGLISH MEDIUM HIGH SCHOOL, MANNAR
Head/Principal Name: BINDU M PILLAI","Address : MANNAR CHENGANNUR
Website : www.sbemhsmannar.com"
78,"Aff. No. :931132
Sch. Code:76074","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : CARMEL ENGLISH MEDIUM SCHOOL
Head/Principal Name: JUBIMOL JACOB","Address : THAKAZHY P O KUTTANADU, ALAPPUZHA
Website : www.carmelschoolthakazhy.ac.in"
79,"Aff. No. :931142
Sch. Code:76152","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : MATHEWS MAR ATHANASIUS RESIDENTIAL CENTRAL SCHOOL
Head/Principal Name: VIJI JACOB MATHEW","Address : ANGADICAL P.O.,CHENGANNUR ALAPPUZHA
Website : www.mmarcentralschool.org"
80,"Aff. No. :931147
Sch. Code:76506","State : KERALA
District : ALAPPUZHA",Middle Class,"Name : SNEHANANDA CHAITHANYA ENGLISH MEDIUM SCHOOL
Head/Principal Name: MissLaju G.","Address : VOLGA JUNCTION, KALAVOOR, MANNANCHERRY P.O.
Website :"
81,"Aff. No. :931158
Sch. Code:76075","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : BSMM NIRMALA ENGLISH MEDIUM SCHOOL
Head/Principal Name: SREEJA C R","Address : THANNEERMUKKOM P O CHERTHALA, ALAPPUZHA
Website : www.bsmmnirmalaschool.com"
82,"Aff. No. :931212
Sch. Code:76190","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : MMSKV ENGLISH MEDIUM SCHOOL
Head/Principal Name: BINDHU RAMACHANDRAN","Address : PALACHUVADU PULIYOOR P.O CHENGANNUR ALAPPUZHA DIST KERALA STATE
Website : www.mmskvschoolpuliyoor.com"
83,"Aff. No. :931221
Sch. Code:76192","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SRI RAGHAVENDRA VIDYALAYA
Head/Principal Name: GEETHA V PRABHU","Address : VARAKADY ROAD S L PURAM P O CHERTHALA ALAPPUZHA KERALA
Website : www.sriraghavendravidyalaya.com"
84,"Aff. No. :931257
Sch. Code:76232","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : ST. JOSEPHS PUBLIC SCHOOL POLLETHAI
Head/Principal Name: REENA M R","Address : POLLETHAI P.O.,
Website : www.sjpspollethai.com"
85,"Aff. No. :931270
Sch. Code:76261","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : ST. THOMAS CENTRAL SCHOOL
Head/Principal Name: CHANDRAN P","Address : THOTTAPPALLY
Website : www.stthomascentralschool.in"
86,"Aff. No. :931275
Sch. Code:76270","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : AL-EJABA CENTRAL SCHOOL
Head/Principal Name: NEENA SURESH","Address : EJABA CAMPUS NEERKUNNAM A M C. P.O ALAPPUZHA
Website : www.alejabacentralschool.in"
87,"Aff. No. :931294
Sch. Code:76273","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : FR XAVIER ARESSERIL MEMORIAL ENGLISH MEDIUM SCHOOL
Head/Principal Name: RAHUL R","Address : ARTHUNKAL
Website : http://aresserilschool.webs.com/"
88,"Aff. No. :931305
Sch. Code:76294","State : KERALA
District : ALAPPUZHA",Middle Class,"Name : MARY IMMACULATE ENGLISH MEDIUM SCHOOL
Head/Principal Name: Sr.Raji MAthew","Address : MARY IMMACULATE ENGLISH MEDIUM SCHOOL. PATHIRAPPALLY P.O, ALAPPUZHA,KERALA - 688 521
Website : www.miems.in"
89,"Aff. No. :931323
Sch. Code:76309","State : KERALA
District : ALAPPUZHA",Senior Secondary Level,"Name : RAJAGIRI ST.CHAVARA CMI PUBLIC SCHOOL
Head/Principal Name: FR JAISON P A","Address : MANAPPURAM.P.O. CHERTHALA, ALAPPUZHA
Website : www.rajagirimanappuram.com"
90,"Aff. No. :931348
Sch. Code:76364","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : SRI SRI RAVISHANKAR VIDYA MANDIR (S.S.R.V.M)
Head/Principal Name: SOBHANA S","Address : SRI SRI RAVISHANKAR VIDYA MANDIR, KATTACHIRA, PALLICKAL P O BHARANIKKAVU PANCHAYATH, KATTANAM,ALAPPUZHA (DIST) KERALA - 690503
Website : www.kayamkulam.ssrvm.org"
91,"Aff. No. :931423
Sch. Code:76439","State : KERALA
District : ALAPPUZHA",Secondary Level,"Name : PRESIDENCY PUBLIC SCHOOL
Head/Principal Name: BINIL MATHEWS","Address : NOORANAD, CHARUMMOOD
Website : https://presidencyschool.online"
